bin_chr	bin_start	bin_end	i.bin_start	i.bin_end	TGL48_0001_Ct_T_PE_313_CM_UMB-001-BL	TGL48_0001_Ct_T_PE_317_CM_UMB-001-2W-P	TGL48_0002_Ct_T_PE_307_CM_UMB-002-2W-P	TGL48_0001_Ct_T_PE_318_CM_UMB-001-12M-P	TGL48_0002_Ct_T_PE_306_CM_UMB-002-BL	TGL48_0002_Ct_T_PE_314_CM_UMB-002-3M-P	TGL48_0001_Ct_T_PE_316_CM_UMB-001-3M-P	TGL48_0006_Ct_T_PE_337_CM_UMB-006_3_Mth_FU	TGL48_0006_Ct_T_PE_336_CM_UMB-006_6_Mth_FU	TGL48_0007_Ct_T_PE_336_CM_UMB-007_6_Mth_FU	TGL48_0003_Ct_T_PE_326_CM_UMB-003-6M-P	TGL48_0009_Ct_T_PE_334_CM_UMB-009_2_Wk_Post	TGL48_0004_Ct_T_PE_329_CM_UMB-004-2W-P	TGL48_0009_Ct_T_PE_338_CM_UMB-009_Baseline	TGL48_0003_Ct_T_PE_323_CM_UMB-003-3M-P	TGL48_0007_Ct_T_PE_326_CM_UMB-007-BL	TGL48_0002_Ct_T_PE_309_CM	TGL48_0004_Ct_T_PE_318_CM	TGL48_0001_Ct_T_PE_311_CM_UMB-001-6M-P	TGL48_0011_Ct_T_PE_322_CM_UMB-011_3_Mth_FU	TGL48_0005_Ct_T_PE_320_CM_UMB-005_6_Mth_FU	TGL48_0009_Ct_T_PE_329_CM_UMB-009_3_Mth_FU	TGL48_0011_Ct_T_PE_325_CM_UMB-011_Baseline	TGL48_0006_Ct_T_PE_327_CM_UMB-006_2_Wk_Post	TGL48_0006_Ct_T_PE_322_CM_UMB-006_Baseline	TGL48_0011_Ct_T_PE_324_CM_UMB-011_12_Mth_FU	TGL48_0008_Ct_T_PE_326_CM_UMB-008-BL	TGL48_0007_Ct_T_PE_325_CM_UMB-007-2W-P	TGL48_0011_Ct_T_PE_333_CM_UMB-011_6_Mth_FU	TGL48_0007_Ct_T_PE_327_CM_UMB-007-3M-P	TGL48_0011_Ct_T_PE_319_CM_UMB-011-2W-P	TGL48_0010_Ct_T_PE_330_CM_UMB-010-3M-P	TGL48_0010_Ct_T_PE_334_CM_UMB-010-6M-P	TGL48_0010_Ct_T_PE_328_CM_UMB-010-2W-P	TGL48_0010_Ct_T_PE_332_CM_UMB-010-12M-P	TGL48_0010_Ct_T_PE_326_CM_UMB-010-BL	TGL48_0009_Ct_T_PE_322_CM_UMB-009-6M-P	TGL48_0005_Ct_T_PE_324_CM_UMB-005_2_Wk_Post	TGL48_0005_Ct_T_PE_328_CM_UMB-005_Baseline	TGL48_0002_Ct_T_PE_320_CM_UMB-002_6_Mth_F_U	TGL48_0004_Ct_T_PE_328_CM_UMB-004_3_Mth_FU	TGL48_0005_Ct_T_PE_331_CM_UMB-005_3_Mth_F_U	TGL48_0004_Ct_T_PE_326_CM_UMB-004_6_Mths_Post	TGL48_0003_Ct_T_PE_313_CM_UMB-003-2W-P	TGL48_0003_Ct_T_PE_314_CM_UMB-003-BL	TGL48_0006_Ct_T_PE_312_CM_UMB-006-12M-P	TGL48_0002_nn_P_PE_327_CM	TGL48_0003_nn_P_PE_328_CM	TGL48_0005_nn_P_PE_327_CM	TGL48_0007_nn_P_PE_312_CM	TGL48_0008_nn_P_PE_327_CM	TGL48_0009_nn_P_PE_325_CM	TGL48_0010_nn_P_PE_327_CM	TGL49_0255_Ct_n_PE_220318_CM	TGL49_0256_Ct_n_PE_220318_CM	TGL49_0257_Ct_n_PE_220318_CM	TGL49_0258_Ct_n_PE_220318_CM	TGL49_0259_Ct_n_PE_220318_CM	TGL49_0260_Ct_n_PE_220318_CM	TGL49_0261_Ct_n_PE_220318_CM	TGL49_0263_Ct_n_PE_220318_CM	TGL49_0196_Ct_T_PE_319_CM	TGL49_0197_Ct_T_PE_313_CM	TGL49_0198_Ct_T_PE_312_CM	TGL49_0199_Ct_T_PE_312_CM	TGL49_0200_Ct_T_PE_310_CM	TGL49_0201_Ct_T_PE_318_CM
chr1	29124901	29125200	29124901	29125200	0.780306365363131	0.791298047674998	0.997097309448006	0.859949163883689	0.995364424334689	0.999274467046372	0.981541663702112	0.273611659917933	0.127560985541011	0.0185451780762508	0.902989624412705	0.0541019224193945	0.142758840167743	0.802865807372389	0.996855156058138	0.982362458600664	0.993669209886257	0.984320444453838	0.237500534246078	0.517456024189597	0.992955358167487	0.907792769966609	0.856046478272729	0.0449457482878826	0.0148047177666944	0.0444892907244299	0.00505145855660026	0.00353256008612977	0.0155273613568225	0.00472702152046047	0.567259037794478	0.0586704554189207	0.0547807261601362	0.0203136179987082	0.066043058322418	0.00226685952980323	0.999275997279698	0.791785998158704	0.229907653447745	0.999945182063289	0.0105341186270559	0.00263208431897221	0.612797735121715	0.654501159599555	0.764978610295752	0.579484812087928	0.0479504846727826	0.792644175728857	0.283004735105592	0.0120475640046446	0.0458202583354626	0.0239192508621741	0.0616925868117668	0.0923388769983482	0.308514594363808	0.261821618001507	0.348343699450837	0.0896807157445726	0.124986241891429	0.0893414850122025	0.347558100578716	0.495602030371896	0.559226844113809	0.0266087420419423	0.0211086568637064	0.125097163682186	0.375576825375763
chr1	32240101	32240400	32240101	32240400	0.99442486328528	0.999960175290356	0.999920469728557	0.999808633406555	0.999764699643628	0.998049088597671	0.999901545449316	0.995214074615613	0.981507976839928	0.999963977614767	0.996907333431607	0.901325773835419	0.530750083440222	0.995337046575346	0.994475605779254	0.933094486957597	0.999996742335962	0.999985582145348	0.999545387607615	0.994677065655846	0.99835450919455	0.978312121929563	0.999337269544282	0.86794804200986	0.998615196466304	0.998539563412421	0.990887589622407	0.999994649784805	0.999738783824617	0.996729178784815	0.997129674685962	0.998569009640399	0.999992644796082	0.999974749662598	0.996196751241978	0.995218484749818	0.999992601595631	0.999235726932478	0.999953114343106	0.99999693400721	0.999998392423725	0.932196994979733	0.999914749701177	0.983542928766767	0.991488381209594	0.999933096916974	0.972824066786675	0.935593627697582	0.990970923789159	0.899190314619684	0.966648169388794	0.835783568529381	0.947149619830127	0.89138682165805	0.95971096387166	0.705590228761718	0.616594668748555	0.663234441097268	0.399167618683474	0.788075609624608	0.950963079541368	0.443364933917999	0.829251957172183	0.207315971862023	0.656985397581786	0.998886792649471	0.999970903054593
chr1	32741101	32741400	32741101	32741400	0.139645381544415	0.231706583246981	0.275145182535754	0.0636737548089981	0.0127224613275262	0.114462442399004	0.0598417744052208	0.661317616795153	0.319130942119106	0.106367537989712	0.00359693249837139	0.0186594203202214	0.26079783162898	0.213278463344242	0.398440523302802	0.767397588403556	0.110380458375607	0.463086641075718	0.267617700922559	0.010176884889873	0.820099851435341	0.639885270152481	0.428702156797388	0.684660383887529	0.106867958074158	0.85489959565966	0.0452131304904522	0.0844611583738045	0.137771950457367	0.00287065006854576	0.0412564618752215	0.00444703591347057	0.804459934018627	0.198814831636737	0.0217575811088967	0.0255498186307371	0.434748444963723	0.00500276830108319	0.00361728043592817	0.0141701905165177	0.905969875608949	0.0538697361764632	0.0299004549675651	0.0314902133007354	0.449299152943343	0.030981013788097	0.00237033252824826	0.00419029094869274	0.0468347894512078	0.0240958859692094	0.00401278382523746	0.00503710667329451	0.00282570202200132	0.043851473155604	0.168170716175281	0.00395914675369044	0.01414354451695	0.0113471641115987	0.134895467355532	0.0931191098838701	0.631986945673181	0.0263858134889423	0.847338680762974	0.194097025950265	0.401251452938952	0.168900845468798	0.0580555411014101
chr1	90834901	90835200	90834901	90835200	0.00653336002436671	0.346433243951343	0.00286145629164478	0.0576062022713821	0.00495828378046424	0.0044957643984934	0.354735289941838	0.707070570490715	0.00986562201550881	0.361601357104688	0.0271865832393013	0.0529302915094416	0.318573157886411	0.0402637001059831	0.868259342575288	0.0288482715140704	0.0243468111581824	0.0285943971272243	0.400859978679148	0.028851194634697	0.36784421805524	0.0301952429624932	0.398473273549369	0.222867623939876	0.0083908795042036	0.0521140606248924	0.0276025819076387	0.0149357042759583	0.0295898652944059	0.220372848103753	0.298101934144759	0.0210552525272266	0.213106429970612	0.018975517938061	0.0177216362183817	0.163714723925141	0.854933405472735	0.0211874279897719	0.0162930796886724	0.00977341867173519	0.858581702664857	0.0205570103329395	0.0156515455410889	0.0447329714127887	0.00388349359633225	0.0489149064142239	0.999999999359915	0.999998137826366	0.999998762584708	0.99999029007375	0.999815056122845	0.99999771308132	0.999999186578496	0.0124934523299269	0.410394155196305	0.00935884607976618	0.336529346176966	0.0316525768156716	0.180482535023319	0.310155729353949	0.701284253300675	0.0093513783394644	0.128912483943855	0.0173041736938817	0.0129007955669361	0.531383632155073	0.0208704896718897
chr1	167121601	167121900	167121601	167121900	0.0109197055626659	0.00488108129493779	0.00197674476025003	0.00173693003629723	0.557644048324065	0.0177175148112472	0.000895329239421233	0.0352668345751308	0.000577332405330365	0.00048755593234098	4.19870174021703e-05	0.00109567967416382	6.90039915433726e-05	0.000472707334207768	0.00307963080048102	0.000356063228630908	0.0382314405173126	0.000531488809184099	0.00383157747449989	0.00096506313348014	0.000535991848873102	0.001897285845228	0.0104157646036412	0.987427070299841	0.35675946453107	0.0024511373629954	5.66410985567666e-05	3.93160736473146e-05	0.144291706059373	0.0992962908373793	0.00368274684790763	0.000144826560685563	0.000124090342194686	0.00169188254674036	0.000563658656200224	0.000741905788207728	0.000110040062723487	0.000151029741811081	0.389083817097254	0.00741084786841297	0.285907448448673	0.0080723472010325	0.0166294624885614	0.00488405025978127	0.000925529903204741	0.0033127146797943	0.0016749293124386	0.0154357813431459	0.017490933578157	0.0147756603810587	0.0128013956484387	0.00299121698331304	0.00677957442005435	0.00107018047543531	0.00127025882067603	0.0439384611453594	0.263323125413939	0.00945327595000655	0.0214931561332708	0.0480577413576357	0.0109405891835155	0.0341662608429031	0.00431499229525817	0.0211603850343857	0.0146339170589039	0.0228208899292322	0.0162001947468662
chr1	205314001	205314300	205314001	205314300	0.84309808039962	0.814153780505766	0.0788399751903642	0.824647734696125	0.0979459969640345	0.137162080428089	0.62015748187556	0.972122155868844	0.126717244533944	0.875697552417074	0.0263397542837067	0.0210662314455517	0.189156323908436	0.204175141095839	0.090488602627893	0.932105433506738	0.10192160522436	0.429386237297316	0.0718695259751808	0.846159432813267	0.103472263835277	0.0141031550780836	0.399672058025795	0.254035196138398	0.641281656348837	0.0213372145469546	0.0349543097991947	0.399303753560751	0.357251520202229	0.996205324921203	0.148072385453419	0.895952476519228	0.0330718622247459	0.0427827558966393	0.020152883441203	0.0241160186653837	0.989304133973086	0.0537462857372052	0.6015459534743	0.952658825024241	0.999929928576998	0.181621566272918	0.281912233223128	0.0935053546336232	0.218519170324796	0.453811640058902	0.999999985513226	0.999804511778175	0.999999761857801	0.680169170591826	0.0379729154179874	0.999917399816517	0.99999128839162	0.0538893395063004	0.412410361398219	0.10163736709557	0.158677489792403	0.12311923884069	0.695182434809193	0.0946076045848104	0.896920774291875	0.393836614298985	0.612456280091715	0.183275781624314	0.848479152222584	0.174841464919514	0.530677530336589
chr10	75405301	75405600	75405301	75405600	0.000335591974605972	0.000214826333253749	5.5610965510573e-05	4.37808183138893e-05	0.000412724555340059	4.9587159755196e-05	0.000289499981971664	0.000183388744848758	0.000260153392217756	0.000208397305972656	1.26678437743325e-05	0.000469677357759154	0.000313707406242532	0.000185386729201786	1.66659110343612e-05	0.000855894761001453	0.0184390747422217	0.109858584923912	0.00671661277304358	0.000492381301454952	0.000247262138350965	0.00113672858541247	0.000312794189507023	0.00683863820232213	0.00140233588875572	0.00148863608623516	1.87101543892305e-05	1.38880907799085e-05	0.000394082880221199	0.000217006099520585	0.000184586567362868	5.29008500868445e-05	4.59990009164426e-05	7.32868418751098e-05	0.00100881310806702	3.39499172708077e-05	3.88885551345701e-05	6.02560168468784e-05	0.00275920953503225	0.0300826419699056	7.10661297179645e-05	0.0034249405741562	0.000402633251717252	0.00062646035806407	6.64849785690858e-05	0.000317796539436855	0.956461351777094	0.963911558690273	0.0686593981153347	0.990241874749345	0.00609156996081877	0.764267982531836	0.995218551825204	0.00408440820678558	0.000672776301579148	0.000621852678437577	0.00967196942428389	0.0150087842504439	0.00408225220652917	0.000307914590602877	0.0630219710196798	0.000381164259698128	0.0018299568066588	0.000185075254828004	0.000129427890010536	0.00184327860295369	0.000114291062915775
chr10	75405601	75405900	75405601	75405900	0.00120978475236524	0.000467053619338078	0.00536956679420569	0.000790113518216658	0.040395901322359	0.0529679072220565	0.0223860890506586	0.0708122290740618	0.165948681076553	0.971324968304516	0.482722534865072	0.0244994826882162	0.0389861054873323	0.00726351050620486	0.00189904750137478	0.533294152960078	0.627966358644646	0.420655161602873	0.00540163398575026	0.646347431965772	0.0980859389162542	0.344160671558455	0.137396166381157	0.999458045130765	0.545764071277179	0.0690499457331989	0.00055676993794555	0.971390093532523	0.312013573249855	0.732522049695124	0.0218678781161645	0.00471125375327913	5.51269079565066e-05	0.00563803987837547	0.00783287255858394	0.0526466596294787	0.0146034428192636	0.00147011551376157	0.815339459947143	0.299260046615842	0.918802274225132	0.19036069282875	0.557564350566475	0.109712538162408	0.0197813873442152	0.591708647925466	0.947388243321289	0.9320737599981	0.982436159033771	0.999999289407287	0.995955472009309	0.909570195930553	0.998226888113919	0.996230906939534	0.923776726513577	0.992782895855717	0.622629717696901	0.843040268885768	0.980625401597478	0.833676484686264	0.996561129740749	0.276027072319949	0.0651294014732656	0.395521540199341	0.0673139944373595	0.559351920991704	0.955631792531589
chr10	131982601	131982900	131982601	131982900	0.00361721150940129	0.0315504311012151	0.037201279860227	0.115301207543102	0.0453938614801085	0.0146991520989902	0.0482767308745262	0.000690577449210181	0.0102818457744364	0.000539754037399236	1.25116567444167e-05	0.000440213129443895	1.38037450876445e-05	0.00017000700438768	5.96049539825058e-05	0.000184020609891882	0.00355237068771676	0.000353444551606297	0.00434108729634535	0.000584714227013173	0.000433218435227991	0.000903489397574033	0.000403187374076898	0.0384895017533808	0.0136071387008135	0.00048755214050876	8.00345893937705e-05	2.62597889977918e-05	0.000326167035684822	2.91300183911329e-05	0.00011172835513572	9.90438654403442e-05	0.000569941457487762	0.000152669435314192	8.59520803015058e-05	0.00288030720789369	0.00100810665727469	0.00033942799750542	0.0202229824944247	0.000381278456760249	0.000331120687898939	3.88656488184495e-05	5.08304082378018e-05	0.0291714131019917	0.031733535826131	0.058842430093569	0.739442230596006	0.417905989945568	0.0709390237042554	0.00516399855855376	0.312500233284619	0.105847301771165	0.0798906786158228	0.0362479846110122	0.00307932745992005	0.231327707188678	0.00105786091963472	0.000417778201999783	0.00357790912845356	0.00504601298249934	0.0680077889988622	0.188007337906314	0.0154114681476633	0.0273427140954611	0.0211161409636778	0.00630675090725646	0.000470286260623029
chr10	132408301	132408600	132408301	132408600	0.0113793767603696	0.15596681691784	0.0692483948861803	0.0657919554918639	0.0098493265475463	0.00144802582597213	0.000817468627582063	0.0466486308474832	0.00305159608357857	0.0516332807130459	0.0423412458239209	0.197016993115039	0.00110599417774615	0.00539185115797017	0.124278603219899	0.280190890182047	0.0030965998462794	0.965824942093185	0.00154189730493373	0.00563840450064177	0.188725368155371	0.00780845336962632	0.00477173689874766	0.0530525512210265	0.0633039110359873	0.469824284724315	0.00108065015823021	0.000566240499020313	0.0581104656902242	0.0940650731150815	0.000961659796824426	0.0146502321150828	0.0118920924442418	0.0169541493501077	0.00710104401437044	0.00135956419988058	0.188101029666122	0.00186651351234248	0.0119903307821705	0.0199630593204567	0.21654846648142	0.018190727881267	0.00925478725927354	0.264519539309049	0.152069162607089	0.0216464148651065	0.749111517262031	0.567359878302913	0.0992664358509296	0.0120683896394798	0.0713768216865786	0.0660318994673901	0.536520479917044	0.0940732451925069	0.0478039527853047	0.03328158375138	0.210926699531084	0.05827216820524	0.0901946367020293	0.00495816139315117	0.00601633144591302	0.0333828638083982	0.0241269071008299	0.111334434132094	0.0211129787763181	0.00360291566861422	0.0030223997562985
